28.7 3-9 29.7 1-5  30.7 1-5 31.7 1-7 rmse, mae, max, std for the whole 21 point set
4.905322151274979, 4.263256770368149, 10.612663215378793, 2.4262784501575942
60.163614520368846, 43.123460420301065, 220.15152388513803, 41.95268374650501
26.520991143147402, 21.463094700855727, 48.60477823722743, 15.578784839550279
50.44080845690668, 39.86188498854212, 89.61104399788181, 30.90801324813014
13.087184720310248, 12.438716365604185, 25.208872168954628, 4.068505755135736 
3.6340498283295175, 3.134071413992638, 7.304464671364281, 1.839541933954206
25.237722882541163, 13.232764258221968, 67.45135568887315, 21.490384044550368
37.02915235254318, 24.7888613086564, 64.54064015563941, 27.507644009766672
19.301658836494756, 15.792993239173322, 34.88177668733671, 11.096639058195137
39.13984295221318, 21.624680237166277, 83.41480638794583, 32.6236189127482
32.670210008873745, 25.822934815827374, 48.15342341618116, 20.012962287513677
41.560534162394504, 27.64531363088121, 72.09461676545618, 31.03247708633287
35.84222010058193, 24.000798127916944, 62.222454625224046, 26.62003814725925
5.011427184916156, 4.548039958613086, 8.433956988836494, 2.104693555978008
29.823186307211376, 24.6806186665533, 41.77146744711323, 16.741848874924802
66.46210475990944, 57.364207297918774, 111.68838719870348, 33.564253160149086
9.95469982448452, 8.608982855378091, 19.509939530825626, 4.998145935384262
4.918650238921679, 4.3492474503809815, 10.82013122135085, 2.297208477304315 
27.430354001913752, 18.61700547662942, 65.70105711216951, 20.145258195254186 
60.80750146064467, 49.58809457216847, 95.32950079403491, 35.1933674232515
24.582023019339214, 21.25871246853846, 52.278383816457996, 12.342730650197742
22.00051767055531, 11.397982545620042, 59.11106543477642, 18.81777807452722 
8.179747639753298, 6.915917659163672, 14.992159996806377, 4.3678775602937545
19.007814076378775, 16.025013417048783, 30.98375666366367, 10.222325613361653
