dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
-1134.2582,-1791.8928,-778.5035,0.00140387,0.00121034,0.000895429,0.00205853,-5.34366e-07,7.372e-08,1.16462e-07,6.84405e-05,7.91283e-05,0.00504391,0.0109108,0.0095472,0.0120401,0.0188456,-2.9463e-05,-1.64437e-05,-2.59776e-05,28.9,998.6,38.9,
-1211.7011,-1954.7092,-676.4399,0.00397094,0.00327363,0.00861706,0.0100369,-5.0858e-06,-1.13135e-05,-1.82509e-05,0.000344097,0.000543202,0.0270395,0.0111211,0.00956158,0.0122025,0.0190789,-3.24729e-05,-1.31654e-05,-2.12384e-05,28.9,998.5,38.9,
-1115.6935,-1979.8841,-699.0431,0.00259238,0.0014992,0.00132597,0.00327509,-3.69332e-06,-2.65505e-07,-4.71158e-07,0.000160147,8.51716e-05,0.0075272,0.0112067,0.00941921,0.0121753,0.0190407,-3.04425e-05,-1.27879e-05,-2.26932e-05,28.9,998.5,39,
-1245.0427,-2037.2408,-725.8583,0.0185553,0.0281713,0.0110429,0.0354946,0.000438303,0.000164118,0.000268544,0.000343727,0.000273875,0.0436083,0.0111419,0.00961536,0.0121905,0.0191103,-3.09086e-05,-1.31083e-05,-2.14489e-05,28.9,998.6,39.1,
-1211.6800,-1954.7103,-676.4423,0.00240825,0.00159424,0.00235077,0.00372389,-3.27989e-06,-8.51212e-07,-1.37319e-06,4.382e-05,0.00021377,0.00912987,0.0111211,0.00956154,0.0122025,0.0190789,-3.24726e-05,-1.31654e-05,-2.12387e-05,28.9,998.6,39.1,
-803.7585,-2128.6871,-741.4309,0.00642759,0.00402362,0.00711471,0.0103982,-1.10639e-05,-4.97173e-06,-1.31672e-05,0.000306687,0.000312111,0.0211241,0.0115196,0.00901558,0.0121401,0.0190096,-2.26443e-05,-9.61341e-06,-2.54603e-05,28.9,998.6,38.7,
-878.4016,-2030.6927,-755.8751,0.0268041,0.0570334,0.0696429,0.0939223,0.0013486,-0.000155699,-0.000359945,0.000657249,0.0025657,0.133535,0.011371,0.00911913,0.0121029,0.0189456,-2.45527e-05,-1.13541e-05,-2.62484e-05,28.9,998.6,38.7,
-897.3202,-2204.2489,-770.6579,0.00352813,0.00451358,0.00233554,0.00618667,3.86686e-06,2.24943e-06,5.52567e-06,0.000144094,0.000133191,0.0110874,0.0114925,0.00917319,0.01216,0.0190811,-2.33871e-05,-9.98953e-06,-2.45391e-05,28.9,998.7,38.7,
-803.7854,-2128.6451,-741.4231,0.00256129,0.0026229,0.00329435,0.00492875,1.40652e-07,-5.04832e-07,-1.33693e-06,9.67351e-05,0.000240454,0.0130024,0.0115196,0.0090156,0.0121401,0.0190096,-2.26453e-05,-9.61394e-06,-2.54604e-05,28.9,998.7,38.7,
-1004.2775,-2087.0085,-678.8497,0.00165243,0.000904585,0.00135405,0.00231997,-1.19746e-06,-2.21268e-07,-4.59821e-07,5.93998e-05,0.000145423,0.00661699,0.0114143,0.00922761,0.0122055,0.0190895,-2.82658e-05,-1.07652e-05,-2.23714e-05,28.9,998.7,38.8,
-908.6942,-2111.4661,-704.5889,0.00112059,0.000702559,0.0015349,0.00202614,-4.02553e-07,-2.72225e-07,-6.32548e-07,0.000121238,0.00013915,0.00774435,0.0114788,0.00911423,0.0121793,0.0190569,-2.57191e-05,-1.02084e-05,-2.37204e-05,28.9,998.8,38.8,
-1038.5333,-2169.6110,-727.4913,0.00307047,0.00190741,0.00240505,0.00434169,-3.59501e-06,-5.55793e-07,-1.16111e-06,0.000165335,0.000190698,0.0112814,0.0114659,0.00933451,0.0122556,0.0192041,-2.7529e-05,-1.09585e-05,-2.28935e-05,28.9,998.8,38.8,
-1004.2711,-2087.0480,-678.8187,0.00155341,0.00113578,0.00175716,0.00260589,-7.03265e-07,-2.96963e-07,-6.17139e-07,0.000132196,0.00014719,0.00844024,0.0114144,0.00922758,0.0122055,0.0190895,-2.8266e-05,-1.07644e-05,-2.23702e-05,28.9,998.8,38.8,
-821.8352,-2466.3136,-742.1055,0.00757563,0.0107518,0.0139514,0.0191737,2.18202e-05,-7.05147e-06,-2.11613e-05,0.000274052,0.0004996,0.0333226,0.0126464,0.00936546,0.0132001,0.0205399,-2.70715e-05,-9.38821e-06,-2.81739e-05,28.9,998.9,39.3,
-861.8981,-2350.1732,-757.1802,0.00377297,0.0022955,0.00496106,0.00664204,-3.79913e-06,-2.37712e-06,-6.48178e-06,0.000127419,0.000299171,0.0151443,0.012133,0.00929647,0.0127431,0.0199002,-2.57561e-05,-9.79088e-06,-2.66972e-05,28.9,998.9,39.3,
-934.6281,-2509.0881,-770.0355,0.00615833,0.00757522,0.00515223,0.0110388,8.41617e-06,3.71811e-06,9.98159e-06,0.000328234,0.000331511,0.0285283,0.0129341,0.0096548,0.0135913,0.0211005,-3.20389e-05,-1.13208e-05,-3.03918e-05,28.9,998.9,39.3,
-821.8557,-2466.2746,-742.0757,0.00280235,0.00187532,0.00138593,0.00364565,-1.62554e-06,1.03591e-07,3.10862e-07,5.00154e-05,0.000162664,0.00846048,0.0126463,0.0093654,0.0132,0.0205397,-2.70716e-05,-9.38797e-06,-2.8172e-05,28.9,998.9,38.9,
-1024.2059,-2401.3947,-689.6275,0.00108768,0.000718695,0.00066436,0.0014632,-3.4749e-07,-8.13891e-09,-1.90828e-08,7.22075e-05,0.000127805,0.00696047,0.0124936,0.0095793,0.0132275,0.0205626,-3.35358e-05,-1.08629e-05,-2.54695e-05,29,999,38.8,
-922.8225,-2395.5101,-697.5798,0.00317313,0.00159593,0.00245196,0.004316,-3.40256e-06,-5.03717e-07,-1.30757e-06,0.000188848,0.000229297,0.0139231,0.0123844,0.00938545,0.0130199,0.0202726,-2.95337e-05,-9.78867e-06,-2.54099e-05,29,999,38.8,
-1025.1503,-2477.7621,-756.9762,0.00482047,0.00283952,0.00726698,0.00917108,-7.57478e-06,-5.61498e-06,-1.35713e-05,0.000162802,0.000298988,0.0166352,0.0128576,0.00976784,0.0136039,0.0211139,-3.4897e-05,-1.22074e-05,-2.9505e-05,29,999,38.8,
-1024.1827,-2401.4206,-689.6052,0.00352575,0.00167398,0.00207404,0.00441981,-5.01959e-06,-4.05513e-07,-9.50815e-07,2.60629e-05,9.12848e-05,0.00455425,0.0124937,0.00957926,0.0132276,0.0205627,-3.35358e-05,-1.08623e-05,-2.5469e-05,29,999,38.8,
-1263.6859,-2035.2758,-782.1990,0.00537934,0.00444984,0.00210498,0.00729173,-9.23144e-06,1.85807e-06,2.99258e-06,0.000223394,0.00012787,0.0134551,0.0111587,0.00971014,0.0122426,0.0192011,-3.05444e-05,-1.43732e-05,-2.31493e-05,28.9,999.1,39.1,
-1386.5207,-2050.7952,-781.1444,0.00667879,0.00661616,0.00272301,0.00978747,-1.03699e-06,6.99887e-06,1.0352e-05,0.000353893,0.000120317,0.0255947,0.011372,0.0100478,0.0126238,0.0197393,-3.53237e-05,-1.61508e-05,-2.38886e-05,28.9,999.1,39,
-1247.9786,-2157.9526,-781.4295,0.00174797,0.00144046,0.00270493,0.00352803,-8.51951e-07,-9.97982e-07,-1.72567e-06,4.92117e-05,0.000191921,0.00929732,0.0116549,0.00984845,0.012707,0.0198569,-3.37524e-05,-1.4618e-05,-2.52768e-05,28.9,999.1,39,
-1263.7204,-2035.3049,-782.2164,0.00204659,0.00201568,0.00156978,0.00327348,-1.26902e-07,2.93016e-07,4.71922e-07,9.61929e-05,0.000168236,0.00922289,0.0111589,0.00971029,0.0122428,0.0192014,-3.05462e-05,-1.43742e-05,-2.31505e-05,28.9,999.1,39,
-1394.7450,-2165.8261,-672.7245,0.00457239,0.00374985,0.00263167,0.00647254,-7.53176e-06,3.46774e-07,5.38488e-07,0.000306335,0.000160548,0.0172993,0.0118161,0.0101255,0.0130511,0.0203095,-4.08135e-05,-1.42767e-05,-2.21695e-05,28.9,999.1,38.9,
-1320.0892,-2227.7989,-704.2355,0.00188817,0.00121498,0.00199518,0.00300368,-1.90766e-06,-5.44182e-07,-9.18368e-07,8.29244e-05,0.000135001,0.00751948,0.0120079,0.0100421,0.013132,0.0204324,-3.9582e-05,-1.42313e-05,-2.40169e-05,28.9,999.1,39,
-1462.9406,-2222.3377,-722.9247,0.00298461,0.00292769,0.00394846,0.00575061,-3.90932e-07,-1.17373e-06,-1.783e-06,0.000155141,0.000227177,0.0143366,0.0121452,0.0104389,0.0134863,0.0209369,-4.4766e-05,-1.65143e-05,-2.50867e-05,28.9,999.1,39,
-1394.7321,-2165.8327,-672.7265,0.00357765,0.00353467,0.0102087,0.0113803,-3.36338e-07,-1.39508e-05,-2.16638e-05,0.000189558,0.000443512,0.022914,0.0118161,0.0101255,0.0130511,0.0203095,-4.08132e-05,-1.42766e-05,-2.21697e-05,28.9,999.1,39,
-1238.2458,-2323.4691,-783.1791,0.00145586,0.00129306,0.00321629,0.0037598,-3.33115e-07,-1.35834e-06,-2.54881e-06,0.000108767,0.000219013,0.0118083,0.0123615,0.010058,0.0133819,0.0208098,-3.84407e-05,-1.51026e-05,-2.83388e-05,28.9,999.2,39,
-1361.9276,-2324.3693,-781.9608,0.00312647,0.00190045,0.00182435,0.00408837,-5.49914e-06,-4.70895e-07,-8.03665e-07,0.000166152,0.000166779,0.0115259,0.0124912,0.0103649,0.013677,0.0212255,-4.33631e-05,-1.68313e-05,-2.87256e-05,28.9,999.2,39,
-1237.0270,-2447.2248,-782.3251,0.00634762,0.00413775,0.00505046,0.00910606,-1.57325e-05,-2.28922e-06,-4.5288e-06,0.000397141,0.000244026,0.0239569,0.0129089,0.0102209,0.0139104,0.0215547,-4.22136e-05,-1.54641e-05,-3.05928e-05,28.9,999.2,39,
-1238.0545,-2323.4960,-783.1469,0.00359973,0.00249509,0.00187626,0.00476486,-5.00977e-06,5.48435e-09,1.02927e-08,0.000169955,0.000158523,0.011584,0.0123615,0.0100575,0.0133816,0.0208093,-3.84345e-05,-1.50994e-05,-2.83375e-05,28.9,999.2,39,
-1385.7248,-2428.9833,-679.8262,0.00432809,0.00275332,0.00383104,0.00640234,-9.43156e-06,-1.5974e-06,-2.80002e-06,0.000133857,0.000211581,0.012839,0.0129411,0.0104583,0.014129,0.0218284,-4.91359e-05,-1.51441e-05,-2.65454e-05,28.9,999.2,39.1,
-1293.7721,-2462.8826,-708.2075,0.00324651,0.00197007,0.00268698,0.00465197,-4.8309e-06,-7.43882e-07,-1.41609e-06,0.000173824,0.000203431,0.013545,0.013013,0.0102939,0.0140705,0.021755,-4.59786e-05,-1.47057e-05,-2.79944e-05,28.9,999.2,39,
-1427.9278,-2515.4556,-713.3022,0.00209243,0.00179271,0.00259062,0.00378198,-9.75281e-07,-5.25124e-07,-9.25065e-07,0.000139505,0.000203916,0.0132857,0.0133706,0.010717,0.0146125,0.02252,-5.35353e-05,-1.67294e-05,-2.94708e-05,28.9,999.3,39,
-1385.7028,-2429.0544,-679.7689,0.00197066,0.0014055,0.0030379,0.0038843,-1.61365e-06,-1.04636e-06,-1.83421e-06,0.000101821,0.000255681,0.0139802,0.0129414,0.0104583,0.0141293,0.0218287,-4.9138e-05,-1.51427e-05,-2.65442e-05,28.9,999.3,39,
-1147.4053,-1792.8050,-522.3835,0.00359973,0.00353637,0.00213544,0.00547942,-4.90111e-07,1.0744e-06,1.67873e-06,6.20062e-05,0.00024201,0.0132691,0.0111151,0.00944471,0.0122791,0.0190663,-3.72298e-05,-1.20222e-05,-1.87846e-05,28.5,999.4,40.6,
-1253.0553,-1857.2264,-524.4501,0.00574694,0.00466917,0.00325172,0.00808716,-1.39029e-05,2.55877e-07,3.7925e-07,0.000288765,0.000160702,0.0145908,0.0110784,0.00960889,0.0123027,0.019142,-3.76491e-05,-1.16942e-05,-1.73327e-05,28.5,999.4,40.6,
-1082.7956,-1898.2720,-521.4945,0.00205516,0.00240807,0.00301877,0.00437441,1.33178e-06,-3.20264e-07,-5.61461e-07,0.000133514,0.000303078,0.0146396,0.0113035,0.00928268,0.012293,0.0191064,-3.51737e-05,-1.06582e-05,-1.86852e-05,28.5,999.4,40.7,
-1147.3415,-1792.7523,-522.3712,0.00574611,0.00783311,0.00275378,0.0100975,3.07195e-05,1.03376e-05,1.61528e-05,0.000109669,0.000134951,0.018489,0.0111152,0.00944461,0.0122791,0.0190663,-3.72299e-05,-1.20223e-05,-1.87852e-05,28.5,999.4,40.7,
-1215.0519,-1975.6456,-412.3149,0.000783711,0.000547309,0.00184974,0.00208213,-3.11244e-07,-3.18639e-07,-5.18099e-07,6.36123e-05,0.000121805,0.00564985,0.0113138,0.00945692,0.0123854,0.019257,-3.81494e-05,-8.4075e-06,-1.36704e-05,28.6,999.5,40.5,
-1125.0095,-2010.5971,-444.5575,0.00143118,0.000986522,0.00200035,0.00265007,-8.75709e-07,-3.44298e-07,-6.15323e-07,0.000167721,0.000132078,0.00878381,0.0114249,0.00929499,0.0123653,0.0192308,-3.59474e-05,-8.47666e-06,-1.51493e-05,28.6,999.5,40.4,
-1262.6057,-2039.9427,-475.5384,0.00522263,0.00384984,0.0053497,0.00840931,-1.24956e-05,-2.33809e-06,-3.77756e-06,0.00023871,0.000346722,0.0185075,0.0112977,0.00954336,0.0123611,0.0192746,-3.6683e-05,-9.16753e-06,-1.48116e-05,28.6,999.5,40.4,
-1215.0603,-1975.6457,-412.3129,0.00264061,0.00291769,0.0020459,0.00443525,1.5234e-06,5.06232e-07,8.23116e-07,0.000245244,0.000191457,0.0138768,0.0113137,0.00945694,0.0123854,0.019257,-3.81495e-05,-8.40748e-06,-1.36703e-05,28.6,999.4,40.3,
