x y z of the waypoint position in robot kos 14 points
628.53532869, 182.2582272 , 431.35171388
631.84048722, 334.64394502, 429.4668161
587.43027909, -283.43778038,  431.84407376
379.22972417, -159.73455963,  429.95462637
370.14045551, 125.01046635, 427.66919835
775.10535131, -63.53112747, 432.88684708
755.50224934, 211.66925725, 428.74279636
598.51969447, -279.60807456,  693.90673333
540.95981685,  85.07053292, 691.15293493
551.09296616, 311.27422327, 690.32514575
325.79991529, -202.06966002,  691.24612418
365.37590393, 144.10194957, 689.59210553
774.38871798, -161.97130978,  695.03015649
702.32542151, 146.65138885, 692.17020546
